,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-04-26,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-27,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-27,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-28,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-28,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-29,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-29,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-30,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-04-30,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-01,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-01,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-02,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-02,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-03,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-03,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-04,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-04,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-05,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-05,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-06,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-06,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-07,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-07,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-08,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-08,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-09,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-09,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-10,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-10,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-11,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-11,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-12,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-12,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-13,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-13,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-14,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-14,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-15,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-15,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-16,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-16,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-18,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-18,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-19,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-19,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-20,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-20,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-21,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-21,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-22,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-22,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-23,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-23,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-24,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-24,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-25,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-25,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-26,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-26,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-27,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-27,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-28,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-28,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-29,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-29,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-30,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-30,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-31,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-05-31,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-06-01,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-06-01,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
